domain,cidr,asn,org
ntv.ru,185.129.100.0/24,AS57724,"DDOS GUARD LTD"
ok.ru,95.163.32.0/19,AS47764,"Vk Services"
otm-r.com,158.160.0.0/16,AS200350,"Yandex.cloud LLC"
otr-online.ru,178.248.236.0/24,AS51115,"HLL LLC"
ozon.ru,185.73.193.0/24,AS44386,"Data center Network in Zone1"
perekrestok.ru,109.238.90.0/24,AS201706,"SERVICEPIPE LLC"
petrovich.ru,185.165.123.0/24,AS64432,"Variti LLC"
playerok.com,91.215.42.0/24,AS57724,"DDOS GUARD LTD"
pochta.ru,212.164.136.0/21,AS12389,"Pjsc Rostelecom"
poisondrop.ru,95.129.236.0/24,AS57724,"DDOS GUARD LTD"
pos.gosuslugi.ru,109.207.9.0/24,AS196747,"Pjsc Rostelecom"
psbank.ru,193.200.10.0/24,AS42231,"Pjsc Promsvyazbank"
rabota.ru,185.163.159.0/24,AS207104,"Bizone LLC"
radioplayer.ru,23.105.253.0/24,AS39134,"EDINAYA SET LIMITED LIABILITY COMPANY"
rambler.ru,81.19.82.0/24,AS24638,"Ramtel Network"
rbc.ru,178.248.236.0/24,AS51115,"HLL LLC"
rg.ru,185.65.148.0/24,AS51115,"HLL LLC"
ria.ru,194.190.139.0/24,AS57352,"Federal State Unitary Enterprise Rossiya Segodnya International Information Agency"
rosseti.ru,193.200.34.0/23,AS42809,"Pjsc Rosseti"
rostrud.gov.ru,178.248.232.0/24,AS51115,"HLL LLC"
rt.com,91.215.41.0/24,AS57724,"DDOS GUARD LTD"
rt.ru,87.226.128.0/17,AS12389,"Pjsc Rostelecom"
rutube.ru,109.238.90.0/24,AS201706,"SERVICEPIPE LLC"
rzd.ru,212.164.136.0/21,AS12389,"Pjsc Rostelecom"
samokat.ru,109.238.88.0/24,AS201706,"SERVICEPIPE LLC"
sberclass.ru,185.169.155.0/24,AS201706,"MASTERTEL"
sbis.ru,91.213.144.0/24,AS208981,"Data Center LLC"
sbp.nspk.ru,194.190.0.0/24,AS201706,"SERVICEPIPE LLC"
skillbox.ru,185.65.148.0/24,AS51115,"HLL LLC"
spas-tv.ru,51.250.0.0/17,AS200350,"Yandex.cloud LLC"
star-conflict.com,185.253.20.0/24,AS48989,"Cluster LLC"
stroki.mts.ru,185.65.148.0/24,AS51115,"HLL LLC"
superjob.ru,185.71.67.0/24,AS43298,"Storm Networks LLC"
taxi.yandex.ru,37.9.112.0/24,AS208398,"YANDEX LLC"
tele2.ru,195.209.67.0/24,AS34879,"Ooo Sovremennye Setevye Tekhnologii"
tnt-online.ru,185.65.148.0/24,AS51115,"HLL LLC"
trueconf.ru,185.71.64.0/24,AS43298,"Storm Networks LLC"
tutu.ru,178.248.234.0/24,AS51115,"HLL LLC"
tv3.ru,193.232.148.0/22,AS48061,"Limited Liability Company Gpm Digital Technologies"
tvc.ru,178.248.233.0/24,AS51115,"HLL LLC"
uchi.ru,109.238.90.0/24,AS201706,"SERVICEPIPE LLC"
upravel.com,185.215.4.0/24,AS57724,"RU TILDAPUBLISHING"
vedomosti.ru,185.65.148.0/24,AS51115,"HLL LLC"
vk.com,93.186.224.0/21,AS47541,"Vkontakte Services"
vkontakte.ru,87.240.128.0/18,AS47541,"Vkontakte Services"
vkplay.ru,95.163.32.0/19,AS47764,"Vk Services"
vkusvill.ru,178.248.232.0/24,AS51115,"HLL LLC"
vseinstrumenti.ru,185.169.155.0/24,AS201706,"MASTERTEL"
vtb.ru,195.242.82.0/24,AS24823,"Vtb Bank public Joint stock Company"
wb.ru,213.184.155.0/24,AS57073,"LLC Wildberries"
wildberries.ru,185.62.202.0/24,AS57073,"LLC Wildberries"
wink.ru,46.235.186.0/24,AS34879,"Network for Ngenix, Moscow Rostelecom"
x5.ru,91.206.100.0/23,AS44704,"Pjsc X Corporate Center"
ya.ru,77.88.44.0/24,AS208398,"YANDEX LLC"
yandex.com,77.88.55.0/24,AS208398,"YANDEX LLC"
yandex.net,213.180.192.0/19,AS208398,"YANDEX LLC"
yandex.ru,77.88.44.0/24,AS208398,"YANDEX LLC"
yastatic.net,37.9.64.0/24,AS208398,"YANDEX LLC"
zvuk.com,91.221.164.0/24,AS201706,"SERVICEPIPE LLC"
